Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
Palau,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,25000
Louisiana,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Colorado,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,2600000
Missouri,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,55456897
Texas,Houston,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1125485
Utah,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,30644327
Washington,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,4088168
Washington,Seattle and King County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",19157230
Wisconsin,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2197123
Wyoming,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,308055
Montana,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,16983882
Arkansas,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2928174
Colorado,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",34783995
New York,New York City,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Micronesia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,1497452
Illinois,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Pennsylvania,Philadelphia,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
Virginia,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,664045
Kentucky,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,27129696
Ohio,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),1600844
Rhode Island,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),246808
Georgia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Connecticut,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,115456
Puerto Rico,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3273158
New Jersey,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,1750000
Oregon,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,3217140
Texas,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,227056156
Pennsylvania,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Washington,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1437399
Wyoming,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
Florida,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Maine,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Florida,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,12699436
Alaska,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),851626
Michigan,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),255559
Massachusetts,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,374115857
Missouri,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,184856322
California,Alameda County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1464400
Maine,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
Colorado,El Paso County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",2196235
Arkansas,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,3828419
New Hampshire,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,2720938
Wisconsin,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",44948299
Alabama,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,932000
Oklahoma,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,9154512
New York,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),1042693
Alaska,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,358881
Palau,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,140000
Maine,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,2831710
Oregon,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2459498
New York,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,7540875
Florida,Hillsborough County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",15112397
Tennessee,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1768000
Marshall Islands,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,57191
California,Los Angeles County,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,0
Utah,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,7157125
New Mexico,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,24601924
Tribal Awards,United American Indian Involvement,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),2000000
Ohio,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",31011053
California,Los Angeles County,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Alabama,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1761951
Montana,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",32865516
Pennsylvania,Philadelphia,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,92417870
New Hampshire,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Louisiana,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,42796369
Vermont,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",28498810
Marshall Islands,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,735509
Rhode Island,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3031306
Colorado,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,173450305
Marshall Islands,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Northern Marianas,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,1117004
District of Columbia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Illinois,Chicago,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,155060902
Kansas,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Idaho,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Connecticut,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,6672473
North Carolina,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",72521026
Tennessee,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,1123674
California,San Bernardino County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",20715347
Connecticut,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,629640
Arizona,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,23100055
California,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,20074619
California,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,3500000
Alabama,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Colorado,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Emerging Infections Program Award,430497
Wisconsin,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,285046
Arizona,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1198146
Massachusetts,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,2968416
Louisiana,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Tribal Awards,,Tribal Awards,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Tribal Awards,8315973
Arkansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
New York,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,20790000
New Mexico,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Delaware,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,2388648
South Dakota,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,6174029
Northern Marianas,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,1000000
Pennsylvania,Philadelphia,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,1400000
West Virginia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,5000803
Guam,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",6590558
Colorado,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,284946
Delaware,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
American Samoa,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,411385
